Município,Data da Coleta,Resultado
FRONTEIRA                                                   ,2018-12-17,0.0
FRONTEIRA                                                   ,2018-12-17,0.0
LAGOA DE ITAENGA                                            ,2018-06-05,0.18
LAGOA DE ITAENGA                                            ,2018-06-05,0.05
LAGOA DE ITAENGA                                            ,2018-11-21,292.0
LAGOA DE ITAENGA                                            ,2018-03-07,0.04
LAGOA DE ITAENGA                                            ,2018-07-03,19924.0
LAGOA DE ITAENGA                                            ,2018-07-03,277.0
LAGOA DE ITAENGA                                            ,2018-03-07,229.0
LAGOA DE ITAENGA                                            ,2018-03-07,192730.0
SAO JOSE DO EGITO                                           ,2018-07-09,5007.0
LAGOA DE ITAENGA                                            ,2018-09-19,0.05
CARUARU                                                     ,2018-04-17,311.0
CARUARU                                                     ,2018-03-13,6033.0
CARUARU                                                     ,2018-04-24,7388.0
CARUARU                                                     ,2018-07-17,457.0
CARUARU                                                     ,2018-07-18,2216.0
CARUARU                                                     ,2018-07-23,106846.0
SAO VICENTE FERRER                                          ,2018-06-05,0.0
LAGOA DO CARRO                                              ,2018-11-21,0.02
SAO VICENTE FERRER                                          ,2018-03-14,462.0
CANDEIAS                                                    ,2018-06-29,7.0
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
CANDEIAS                                                    ,2018-10-22,1.0
CANDEIAS                                                    ,2018-07-30,0.0
CANDEIAS                                                    ,2018-01-23,262.0
CANDEIAS                                                    ,2018-03-26,1501.0
CANDEIAS                                                    ,2018-02-27,3.0
CANDEIAS                                                    ,2018-07-30,603.0
LAGOA DO CARRO                                              ,2018-05-09,1270.0
LAGOA DO CARRO                                              ,2018-11-21,0.0
CANDEIAS                                                    ,2018-07-12,0.0
LAGOA DO CARRO                                              ,2018-06-05,0.04
LAGOA DO CARRO                                              ,2018-09-19,0.18
CANDEIAS                                                    ,2018-02-22,0.119
LAGOA DO CARRO                                              ,2018-02-21,0.0
SANTA FILOMENA                                              ,2018-03-28,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
SALVADOR                                                    ,2018-09-03,0.0
IBIMIRIM                                                    ,2018-05-14,0.02
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-03-20,19.0
SALVADOR                                                    ,2018-03-20,2648.0
SALVADOR                                                    ,2018-07-30,12.0
SALVADOR                                                    ,2018-01-30,26132.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-06-26,0.0
SALVADOR                                                    ,2018-06-26,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-09-10,0.0
SALVADOR                                                    ,2018-09-10,0.0
SALVADOR                                                    ,2018-12-10,0.0
SALVADOR                                                    ,2018-12-10,0.0
SALVADOR                                                    ,2018-10-08,0.0
SALVADOR                                                    ,2018-09-10,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-09-03,0.0
SALVADOR                                                    ,2018-07-09,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-12-10,0.0
SALVADOR                                                    ,2018-05-07,0.0
SALVADOR                                                    ,2018-07-09,0.0
SALVADOR                                                    ,2018-12-03,0.0
SALVADOR                                                    ,2018-10-08,0.0
SALVADOR                                                    ,2018-09-10,0.0
SALVADOR                                                    ,2018-06-26,0.0
SALVADOR                                                    ,2018-06-26,0.0
SALVADOR                                                    ,2018-06-26,1210.0
SALVADOR                                                    ,2018-04-23,0.02
SALVADOR                                                    ,2018-04-23,27879.0
SALVADOR                                                    ,2018-04-23,460.0
SALVADOR                                                    ,2018-05-07,524.0
NEROPOLIS                                                   ,2018-03-01,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
GARANHUNS                                                   ,2018-01-08,0.03
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
CABO DE SANTO AGOSTINHO                                     ,2018-06-06,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
NEROPOLIS                                                   ,2018-02-01,0.0
NEROPOLIS                                                   ,2018-03-01,0.0
GARANHUNS                                                   ,2018-04-09,0.06
GARANHUNS                                                   ,2018-04-10,29090.0
GARANHUNS                                                   ,2018-01-10,1935772.0
GARANHUNS                                                   ,2018-07-09,22305.0
GARANHUNS                                                   ,2018-02-27,1049.0
GARANHUNS                                                   ,2018-02-27,4987.0
CEILANDIA                                                   ,2018-04-18,4244.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
EXTREMA                                                     ,2018-04-11,0.0
JABOATAO DOS GUARARAPES                                     ,2018-03-27,0.0
EXTREMA                                                     ,2018-05-16,0.0
ITAMBE                                                      ,2018-11-06,0.0
ITAMBE                                                      ,2018-08-07,2103.0
ITAMBE                                                      ,2018-10-02,0.0
SERRA TALHADA                                               ,2018-03-19,0.0
SERRA TALHADA                                               ,2018-09-10,0.11
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
EXTREMA                                                     ,2018-05-16,0.0
SERRA TALHADA                                               ,2018-04-16,0.0
SERRA TALHADA                                               ,2018-08-13,0.06
SERRA TALHADA                                               ,2018-07-16,0.04
SERRA TALHADA                                               ,2018-08-13,1478.0
PETROLINA                                                   ,2019-04-15,0.0
PETROLINA                                                   ,2019-04-15,0.0
SERRA TALHADA                                               ,2018-06-18,2401.0
PETROLINA                                                   ,2019-01-14,0.0
PETROLINA                                                   ,2019-05-13,0.0
PETROLINA                                                   ,2019-05-13,0.0
ITAMBE                                                      ,2019-01-08,0.0
RIBEIRAO PIRES                                              ,2019-01-16,0.0
OURICURI                                                    ,2018-05-03,508.0
BOM REPOUSO                                                 ,2018-10-22,0.0
ITAMBE                                                      ,2019-05-21,1726.0
ITAMBE                                                      ,2019-01-08,0.0
ITAMBE                                                      ,2019-01-08,0.0
ITAMBE                                                      ,2019-01-08,0.0
BELEM DE SAO FRANCISCO                                      ,2019-06-10,12319.0
CUSTODIA                                                    ,2018-11-26,0.35
BELEM DE SAO FRANCISCO                                      ,2019-09-10,10301.0
CABROBO                                                     ,2019-10-07,0.0
RIBEIRAO PIRES                                              ,2019-07-10,0.0
RIBEIRAO PIRES                                              ,2019-07-10,0.0
PETROLINA                                                   ,2019-06-04,0.0
PETROLINA                                                   ,2019-10-14,0.0
PETROLINA                                                   ,2019-01-14,0.0
PETROLINA                                                   ,2019-01-14,0.0
PETROLINA                                                   ,2019-10-14,0.0
PETROLINA                                                   ,2019-10-14,0.0
PETROLINA                                                   ,2019-10-14,0.0
PETROLINA                                                   ,2019-08-12,0.0
PETROLINA                                                   ,2019-08-12,0.0
LINHARES                                                    ,2019-11-20,0.49
PETROLINA                                                   ,2019-08-12,0.0
PETROLINA                                                   ,2019-08-12,0.0
SANTA MARIA DA BOA VISTA                                    ,2019-09-09,0.0
FRONTEIRA                                                   ,2019-10-13,0.0
FRONTEIRA                                                   ,2019-08-12,0.0
FRONTEIRA                                                   ,2019-01-16,0.0
FRONTEIRA                                                   ,2019-09-15,0.0
FRONTEIRA                                                   ,2019-09-15,0.0
FRONTEIRA                                                   ,2019-10-13,0.0
FRONTEIRA                                                   ,2019-10-13,0.0
FRONTEIRA                                                   ,2019-08-12,0.0
FRONTEIRA                                                   ,2019-11-18,0.0
FRONTEIRA                                                   ,2019-11-18,0.0
FRONTEIRA                                                   ,2019-11-18,0.0
FRONTEIRA                                                   ,2019-07-14,0.0
FRONTEIRA                                                   ,2019-09-15,0.0
FRONTEIRA                                                   ,2019-12-03,0.0
FRONTEIRA                                                   ,2019-09-15,0.0
FRONTEIRA                                                   ,2019-08-12,0.0
FRONTEIRA                                                   ,2019-11-18,0.0
FRONTEIRA                                                   ,2019-07-14,0.0
FRONTEIRA                                                   ,2019-08-12,0.0
FRONTEIRA                                                   ,2019-09-15,0.0
